jpg,No,ユニット名,レア,BP,属性,HP,攻撃,防御,速度,総合,スキル,スキル説明,UF,UF説明,タクティクス1,タクティクス1説明,タクティクス2,タクティクス2説明,特性,サポート効果
.jpg,,,,,,,,,,0,,#N/A,,#N/A,,#N/A,,#N/A,,
.jpg,,,,,,,,,,0,,#N/A,,#N/A,,#N/A,,#N/A,,
.jpg,,,,,,,,,,0,,#N/A,,#N/A,,#N/A,,#N/A,,
.jpg,,,,,,,,,,0,,#N/A,,#N/A,,#N/A,,#N/A,,
.jpg,,,,,,,,,,0,,#N/A,,#N/A,,#N/A,,#N/A,,
1025.jpg,1025,ニーナ,SSR,12,斬,"14,744","6,779","4,703",A+,"26,226",幻氷の縦十字／絶,十字型に攻撃[大],-,　,リザレクション／真,中確率でパーティ全員を復帰(全滅時のみ使用可),-,　,-,-
1026.jpg,1026,ダイア,SSR,12,斬,"13,250","6,092","5,780",A+,"25,122",斬紅の聖護,味方斬属性の防御力をUP[大],-,　,リヴァイブ／真斬紅,高確率で斬属性のユニットを復帰,-,　,-,-
1027.jpg,1027,ロラン,SSR,12,斬,"13,400","7,263","4,856",A+,"25,519",斬紅の業火／真,次の攻撃でダメージが上昇する[中],-,　,アサルト／真,パーティ全体の攻撃力が中UP(3分間),-,　,-,-
1051.jpg,1051,カルディナ,SSR,12,突,"15,765","4,692","5,877",SS-,"26,334",破天の五連撃,ランダムで5連固定ダメージ[小],-,　,フォートレス／真,パーティ全体の防御力が中UP(3分間),-,　,-,-
1052.jpg,1052,シルヴィ,SSR,12,突,"17,672","4,461","5,532",SS-,"27,665",焔幻の一閃／絶,横一列に攻撃[大],-,　,ヒール／真,生存ユニットのHPを中回復,-,　,-,-
1053.jpg,1053,クロード,SSR,12,突,"15,076","4,748","5,505",SS1,"25,329",蒼突の覇道,味方突属性の攻撃力をUP[大],-,　,リヴァイブ／真蒼突,高確率で突属性のユニットを復帰,-,　,-,-
1076.jpg,1076,ジョゼット,SSR,12,打,"18,327","5,787","5,698",A-,"29,812",破焔の一閃／絶,横一列に固定ダメージ[大],-,　,リヴァイブ／真,中確率で戦闘不能ユニットを復帰,-,　,-,-
1077.jpg,1077,ラム,SSR,12,打,"16,656","5,205","7,013",A-,"28,874",破雫の交叉線／絶,X字型に固定ダメージ[大],-,　,ヒール／真紫打,打属性の生存ユニットのHPを高確率で全回復,-,　,-,-
1078.jpg,1078,ベルトラン,SSR,12,打,"18,530","4,991","6,621",A-,"30,142",幻光の交叉線／絶,X字型に攻撃[大],-,　,フォートレス／真,パーティ全体の防御力が中UP(3分間),-,　,-,-
1101.jpg,1101,スティード,SSR,12,遠,"15,943","4,844","5,064",S-,"25,851",光芒の加護 ,味方全体の防御力をUP[中],-,　,アサルト／真,パーティ全体の攻撃力が中UP(3分間),-,　,-,-
1102.jpg,1102,ヴェラ,SSR,12,遠,"16,036","5,594","4,388",S-,"26,018",天使の微笑／真,味方全員のHPを回復[中],-,　,ヒール／真遠翠,遠属性の生存ユニットのHPを高確率で全回復,-,　,-,-
1103.jpg,1103,ロザリー,SSR,12,遠,"14,037","5,625","5,015",S-,"24,677",幻射の五連撃,ランダムで5連続攻撃[小],-,　,リザレクション／真,中確率でパーティ全員を復帰(全滅時のみ使用可),-,　,-,-
1107.jpg,1107,エルザ,SSR,12,斬,"13,546","6,229","5,666",A+,"25,441",破魔の閃光／絶,縦一列に固定ダメージ[大],-,　,ヒール／真斬紅,斬属性の生存ユニットのHPを高確率で全回復,-,　,-,-
1112.jpg,1112,ジャンヌ,SSR,12,突,"16,770","4,991","5,276",SS-,"27,037",幻神の四連撃／真,ランダムで4連続攻撃[中],-,　,ヒール／真蒼突,突属性の生存ユニットのHPを高確率で全回復,-,　,-,-
1116.jpg,1116,ギルバード,SSR,12,打,"16,840","6,074","6,015",A-,"28,929",紫打の聖護,味方打属性の防御力をUP[大],-,　,ポイントライズ／真,獲得する騎士団戦スコアが中アップ(バトル3回),-,　,-,-
1120.jpg,1120,ウィル,SSR,12,遠,"16,212","5,656","4,343",S-,"26,211",光芒の無双 ,味方全体の攻撃力をUP[中],-,　,リヴァイブ／真遠翠,高確率で遠属性のユニットを復帰,-,　,-,-
1121.jpg,1121,ユニス,SSR,12,斬,"13,472","6,557","4,832",S+,"24,861",破焔の一閃／絶,横一列に固定ダメージ[大],-,　,ジャガーノート／真,バトルで敵を全滅するとBPが中回復(バトル3回),-,　,-,-
1123.jpg,1123,ジム,SSR,12,斬,"15,068","6,034","5,291",A+,"26,393",斬紅の叡智,味方斬属性の攻撃力と防御力をUP[中],-,　,ポイントライズ／真,獲得する騎士団戦スコアが中アップ(バトル3回),-,　,-,-
1125.jpg,1125,フレッド,SSR,12,突,"15,240","4,536","6,422",SS-,"26,198",蒼突の聖護 ,味方突属性の防御力をUP[大],-,　,アサルト／真,パーティ全体の攻撃力が中UP(3分間),-,　,-,-
1127.jpg,1127,マリー,SSR,12,打,"16,310","5,673","6,693",A-,"28,676",蒼突の叛逆／絶,攻撃をカウンター[高確率],-,　,エース／真,パーティ全体の攻・防が中UP(3分間),-,　,-,-
1129.jpg,1129,ルナ,SSR,12,遠,"14,729","6,059","4,486",S-,"25,274",破界の包囲陣／絶,敵全体に固定ダメージ[大],-,　,ヒール／真,生存ユニットのHPを中回復,-,　,-,-
1132.jpg,1132,エドガー,SSR,12,打,"18,837","5,642","5,857",A-,"30,336",焔幻の一閃／絶,横一列に攻撃[大],-,　,リヴァイブ／真紫打,高確率で打属性のユニットを復帰,-,　,-,-
1134.jpg,1134,ガルム,SSR,12,突,"15,321","4,561","6,389",SS-,"26,271",加護消滅／光芒,敵全体の防御力をDOWN[中],-,　,リヴァイブ／真,中確率で戦闘不能ユニットを復帰,-,　,-,-
1136.jpg,1136,トルテ,SSR,12,遠,"14,810","6,092","4,464",S-,"25,366",幻射の四連撃／真,ランダムで4連続攻撃[中],-,　,リヴァイブ／真遠翠,高確率で遠属性のユニットを復帰,-,　,-,-
1138.jpg,1138,ロッテ,SSR,12,斬,"13,694","6,665","4,757",S+,"25,116",猛毒の言霊／絶,一定確率で敵を猛毒状態にする[高確率],-,　,ヒール／真斬紅,斬属性の生存ユニットのHPを高確率で全回復,-,　,-,-
1140.jpg,1140,シグマ,SSR,12,突,"15,406","4,853","5,392",SS1,"25,651",狂化の冥呪,防御力を極大DOWNし、攻撃力を極大UP,-,　,ポイントライズ／真,獲得する騎士団戦スコアが中アップ(バトル3回),-,　,-,-
1142.jpg,1142,アデル,SSR,12,打,"19,040","5,587","5,920",A-,"30,547",魔幻の閃光／絶,縦一列に攻撃[大],-,　,ジャガーノート／真,バトルで敵を全滅するとBPが中回復(バトル3回),-,　,-,-
1144.jpg,1144,セシル,SSR,12,遠,"16,477","5,006","4,912",S-,"26,395",遠翠の覇道,味方遠属性の攻撃力をUP[大],-,　,リザレクション／真,中確率でパーティ全員を復帰(全滅時のみ使用可),-,　,-,-
1146.jpg,1146,メイリン,SSR,12,打,"17,115","5,370","6,115",S-,"28,600",紫打の叡智 ,味方打属性の攻撃力と防御力をUP[中],-,　,ヒール／真紫打,打属性の生存ユニットのHPを高確率で全回復,-,　,-,-
1149.jpg,1149,マリユス,SSR,12,斬,"13,263","7,003","5,236",A+,"25,502",幻氷の縦十字／絶,十字型に攻撃[大],-,　,エース／真,パーティ全体の攻・防が中UP(3分間),-,　,-,-
1150.jpg,1150,マリユス,SSR,13,斬,"13,875","7,331","5,777",A+,"26,983",幻氷の縦十字／絶,十字型に攻撃[大],-,　,エース／真,パーティ全体の攻・防が中UP(3分間),-,　,-,-
1151.jpg,1151,ローズ,SSR,12,遠,"17,646","5,224","4,417",S-,"27,287",遠翠の叡智 ,味方遠属性の攻撃力と防御力をUP[中],-,　,リヴァイブ／真,中確率で戦闘不能ユニットを復帰,-,　,-,-
1153.jpg,1153,デュケーヌ,SSR,13,斬,"15,761","6,310","5,832",A+,"27,903",魔幻の閃光／絶,縦一列に攻撃[大],-,　,アサルト／真,パーティ全体の攻撃力が中UP(3分間),-,　,-,-
1155.jpg,1155,シーラ,SSR,13,突,"17,731","5,277","5,755",SS-,"28,763",孤撃の言霊／絶,一定確率で敵を範囲不可にする[高確率],-,　,ジャガーノート／真,バトルで敵を全滅するとBPが中回復(バトル3回),-,　,-,-
1157.jpg,1157,ガット,SSR,13,打,"17,805","5,622","7,498",A-,"30,925",聖天消滅,敵単体の攻撃力と防御力をDOWN[大],-,　,ヒール／真,生存ユニットのHPを中回復,-,　,-,-
1159.jpg,1159,アンネ,SSR,13,遠,"15,492","5,404","5,798",S-,"26,694",幻瞑の包囲陣／絶,敵全体に攻撃[大],-,　,フォートレス／真,パーティ全体の防御力が中UP(3分間),-,　,-,-
1162.jpg,1162,レオ,SSR,12,突,"14,919","5,102","5,935",SS-,"25,956",蒼突の覇道,味方突属性の攻撃力をUP[大],-,　,リヴァイブ／真蒼突,高確率で突属性のユニットを復帰,-,　,-,-
1164.jpg,1164,セレナ,SSR,12,遠,"15,051","5,558","4,396",SS-,"25,005",浄化の一撃 ,単体固定ダメージ+味方ステータスDOWN解除,-,　,ヒール／真遠翠,遠属性の生存ユニットのHPを高確率で全回復,-,　,-,-
1166.jpg,1166,マリユス,SSR,13,斬,"13,953","7,368","5,746",A+,"27,067",斬紅の業火／真,次の攻撃でダメージが上昇する[中],-,　,フォートレスオーダー,騎士団全体の防御力が小UP(3分間),-,　,-,-
1168.jpg,1168,アーデルハイド,SSR,13,突,"15,696","5,367","6,514",SS-,"27,577",蒼突の追撃／真,味方の攻撃に一定確率で追撃[高確率],-,　,アサルトオーダー,騎士団全体の攻撃力が小UP(3分間),-,　,-,-
1170.jpg,1170,カノン,SSR,13,打,"21,342","5,538","6,466",A-,"33,346",紫打の覇道,味方打属性の攻撃力をUP[大],-,　,エースオーダー,騎士団全体の攻・防が小UP(3分間),-,　,-,-
1172.jpg,1172,ノンノリア,SSR,13,遠,"16,658","5,811","5,126",S-,"27,595",夢限の息吹／真,味方1体を蘇生[HP中],-,　,シャドウ,バトル時の強襲CB率が小UP(3分間),-,　,-,-
1177.jpg,1177,ナターシャ,SSR,12,斬,"13,840","6,735","4,707",S+,"25,282",破岩の縦十字／絶,十字型に固定ダメージ[大],-,　,エース／真,パーティ全体の攻・防が中UP(3分間),-,　,-,-
1179.jpg,1179,イザベラ,SSR,13,斬,"14,324","7,766","5,246",A+,"27,336",斬紅の覇道,味方斬属性の攻撃力をUP[大],-,　,ヒール／真斬紅,斬属性の生存ユニットのHPを高確率で全回復,-,　,-,-
1181.jpg,1181,ルーカン,SSR,13,突,"16,116","5,077","5,947",SS1,"27,140",幻神の五連撃,ランダムで5連続攻撃[小],-,　,フォートレス／真,パーティ全体の防御力が中UP(3分間),-,　,-,-
1183.jpg,1183,カリーネ,SSR,13,打,"17,905","6,595","6,394",A-,"30,894",癒やしの光／絶,最もダメージが多い味方1人のHP回復[大],-,　,リヴァイブ／真紫打,高確率で打属性のユニットを復帰,-,　,-,-
1185.jpg,1185,パスカル,SSR,13,遠,"18,365","5,436","4,897",S-,"28,698",暗闇の言霊／絶,一定確率で敵を暗闇状態にする[高確率],-,　,ポイントライズ／真,獲得する騎士団戦スコアが中アップ(バトル3回),-,　,-,-
1187.jpg,1187,アルフォンス,SSR,12,斬,"14,715","6,766","4,952",A+,"26,433",聖護消滅,敵単体の防御力をDOWN[大],-,　,リヴァイブ／真,中確率で戦闘不能ユニットを復帰,-,　,-,-
1188.jpg,1188,デュド,SSR,12,打,"20,391","5,021","6,180",A-,"31,592",破魔の閃光／絶,縦一列に固定ダメージ[大],-,　,シャドウ,バトル時の強襲CB率が小UP(3分間),-,　,-,-
1191.jpg,1191,アルノー,SSR,12,突,"16,467","4,902","5,643",SS-,"27,012",解除の一撃／真,単体固定ダメージ[中]+敵ステータスUP解除,-,　,アサルト／真,パーティ全体の攻撃力が中UP(3分間),-,　,-,-
1193.jpg,1193,ジルベール,SSR,13,斬,"16,112","7,410","4,979",A+,"28,501",破焔の一閃／絶,横一列に固定ダメージ[大],-,　,エースオーダー,騎士団全体の攻・防が小UP(3分間),-,　,-,-
1195.jpg,1195,シルビオ,SSR,13,突,"17,931","4,646","6,545",SS-,"29,122",破天の五連撃,ランダムで5連固定ダメージ[小],-,　,フォートレスオーダー,騎士団全体の防御力が小UP(3分間),-,　,-,-
1197.jpg,1197,モーニカ,SSR,13,打,"19,922","5,363","7,117",A-,"32,402",破雫の交叉線／絶,X字型に固定ダメージ[大],-,　,ジャガーノート／真,バトルで敵を全滅するとBPが中回復(バトル3回),-,　,-,-
1199.jpg,1199,ラクロワ,SSR,13,遠,"17,332","5,267","5,391",S-,"27,990",遠翠の聖天,味方遠属性の攻撃力と防御力をUP[大],-,　,アサルトオーダー,騎士団全体の攻撃力が小UP(3分間),-,　,-,-
1202.jpg,1202,モーリス,SSR,12,打,"18,393","5,284","6,569",A-,"30,246",紫打の聖天,味方打属性の攻撃力と防御力をUP[大],-,　,ポイントライズ／真,獲得する騎士団戦スコアが中アップ(バトル3回),-,　,-,-
1203.jpg,1203,モーリス,SSR,13,打,"19,249","5,828","6,875",A-,"31,952",紫打の聖天,味方打属性の攻撃力と防御力をUP[大],-,　,ポイントライズ／真,獲得する騎士団戦スコアが中アップ(バトル3回),-,　,-,-
1205.jpg,1205,サラ,SSR,12,突,"15,651","5,494","5,308",SS-,"26,453",幻神の四連撃,ランダムで4連続攻撃[小],-,　,リザレクション／真,中確率でパーティ全員を復帰(全滅時のみ使用可),-,　,-,-
